,COUNTRY,country_ID,WHO_REGION,DATA_SOURCE,TOTAL_VACCINATIONS,Cumulative_deaths
137,Chad,TCD,AFRO,REPORTING,9151765.0,194.0
138,Togo,TGO,AFRO,REPORTING,3423181.0,290.0
139,Tajikistan,TJK,EURO,REPORTING,20568163.0,125.0
140,Turkmenistan,TKM,EURO,REPORTING,16775970.0,0.0
141,Trinidad and Tobago,TTO,AMRO,REPORTING,1592148.0,4390.0
142,Tunisia,TUN,EMRO,REPORTING,16553338.0,29423.0
143,United Republic of Tanzania,TZA,AFRO,REPORTING,39392419.0,846.0
144,Uganda,UGA,AFRO,REPORTING,26406936.0,3632.0
145,Ukraine,UKR,EURO,REPORTING,35735488.0,109923.0
146,Uruguay,URY,AMRO,REPORTING,9037498.0,7682.0
147,United States of America,USA,AMRO,REPORTING,711813790.0,1201488.0
148,Uzbekistan,UZB,EURO,REPORTING,83937954.0,1016.0
149,Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,73443.0,124.0
150,Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,37860994.0,5856.0
151,British Virgin Islands,VGB,AMRO,REPORTING,41453.0,64.0
152,Yemen,YEM,EMRO,REPORTING,1298654.0,2159.0
153,South Africa,ZAF,AFRO,REPORTING,41798812.0,102595.0
154,Zambia,ZMB,AFRO,REPORTING,13615707.0,4078.0
155,Zimbabwe,ZWE,AFRO,REPORTING,13935112.0,5740.0
156,United Arab Emirates,ARE,EMRO,REPORTING,24922054.0,2349.0
157,Bangladesh,BGD,SEARO,REPORTING,362229859.0,29499.0
158,Bahrain,BHR,EMRO,REPORTING,3476633.0,1536.0
159,Brunei Darussalam,BRN,WPRO,REPORTING,1293100.0,181.0
160,Bhutan,BTN,SEARO,REPORTING,2011426.0,21.0
161,China,CHN,WPRO,REPORTING,3516880717.0,122358.0
162,Cook Islands,COK,WPRO,REPORTING,40080.0,2.0
163,Fiji,FJI,WPRO,REPORTING,1555182.0,885.0
164,Gibraltar,GIB,,REPORTING,,113.0
165,Greenland,GRL,EURO,REPORTING,,21.0
166,Indonesia,IDN,SEARO,REPORTING,448199860.0,162059.0
167,India,IND,SEARO,REPORTING,2208365081.0,533641.0
168,Iran (Islamic Republic of),IRN,EMRO,REPORTING,155461757.0,146837.0
169,Iraq,IRQ,EMRO,REPORTING,19557364.0,25375.0
170,Jordan,JOR,EMRO,REPORTING,10057975.0,14122.0
171,Kiribati,KIR,WPRO,REPORTING,219980.0,24.0
172,Republic of Korea,KOR,WPRO,REPORTING,135927574.0,35934.0
173,Lao People's Democratic Republic,LAO,WPRO,REPORTING,13879410.0,671.0
174,Lebanon,LBN,EMRO,REPORTING,5814699.0,10947.0
175,Liechtenstein,LIE,,REPORTING,71104.0,89.0
176,Sri Lanka,LKA,SEARO,REPORTING,40116590.0,16907.0
177,Maldives,MDV,SEARO,REPORTING,951764.0,316.0
178,Myanmar,MMR,SEARO,REPORTING,93477104.0,19494.0
179,Mongolia,MNG,WPRO,REPORTING,5668144.0,2136.0
180,New Caledonia,NCL,WPRO,REPORTING,480497.0,314.0
181,Niue,NIU,WPRO,REPORTING,4923.0,0.0
182,Nepal,NPL,SEARO,REPORTING,62627629.0,12031.0
183,Nauru,NRU,WPRO,REPORTING,32157.0,1.0
184,New Zealand,NZL,WPRO,REPORTING,12252378.0,4424.0
185,Oman,OMN,EMRO,REPORTING,7108547.0,4628.0
186,Pakistan,PAK,EMRO,REPORTING,340974144.0,30656.0
187,Philippines,PHL,WPRO,REPORTING,189317158.0,66864.0
188,Palau,PLW,WPRO,REPORTING,51032.0,10.0
189,French Polynesia,PYF,WPRO,REPORTING,493692.0,650.0
190,Qatar,QAT,EMRO,REPORTING,7609178.0,690.0
191,Saudi Arabia,SAU,EMRO,REPORTING,68534631.0,9646.0
192,Singapore,SGP,WPRO,REPORTING,15302530.0,2024.0
193,Saint Helena,SHN,,REPORTING,,0.0
194,Solomon Islands,SLB,WPRO,REPORTING,612700.0,199.0
195,Syrian Arab Republic,SYR,EMRO,REPORTING,5090630.0,3163.0
196,Thailand,THA,SEARO,REPORTING,142635014.0,34725.0
197,Tokelau,TKL,WPRO,REPORTING,6342.0,0.0
198,Timor-Leste,TLS,SEARO,REPORTING,2028798.0,138.0
199,Tonga,TON,WPRO,REPORTING,204737.0,13.0
200,Tuvalu,TUV,WPRO,REPORTING,26783.0,1.0
201,Viet Nam,VNM,WPRO,REPORTING,266492149.0,43206.0
202,Vanuatu,VUT,WPRO,REPORTING,355430.0,14.0
203,Samoa,WSM,WPRO,REPORTING,453130.0,31.0
