,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Cumulative_cases,Cumulative_deaths
52,Finland,FIN,EURO,REPORTING,2023-12-23,14186622.0,4547671.0,257.0,82.0,4365135.0,79.0,,2020-12-23,,4016189.0,73.0,1499712.0,11466.0
53,France,FRA,EURO,REPORTING,2023-12-23,158060078.0,54677676.0,243.0,84.0,53189148.0,82.0,,2020-12-23,,41042160.0,63.0,39016278.0,168091.0
54,Gabon,GAB,AFRO,REPORTING,2023-12-31,572672.0,311244.0,26.0,14.0,257471.0,12.0,,2021-03-23,,2592.0,,49056.0,307.0
55,United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,2023-12-23,151248820.0,53813491.0,223.0,79.0,50762968.0,75.0,,2020-12-21,,,,24992089.0,232112.0
56,Georgia,GEO,EURO,REPORTING,2023-12-23,2739270.0,1300867.0,69.0,33.0,1187212.0,30.0,,2021-03-17,,251191.0,6.0,1863615.0,17150.0
57,Ghana,GHA,AFRO,REPORTING,2023-12-31,25624828.0,13864186.0,82.0,45.0,10780003.0,35.0,,2021-03-02,,4806017.0,15.0,172107.0,1462.0
58,Guinea,GIN,AFRO,REPORTING,2023-12-31,12049511.0,8715641.0,92.0,66.0,5853990.0,45.0,,2021-03-05,,425378.0,3.0,38575.0,468.0
59,Guadeloupe,GLP,,REPORTING,2023-12-29,400424.0,152189.0,100.0,38.0,146147.0,37.0,,,,89052.0,22.0,203235.0,1021.0
60,Gambia,GMB,AFRO,REPORTING,2023-12-31,1444492.0,674314.0,60.0,28.0,539186.0,22.0,,2021-03-10,,53741.0,2.0,12627.0,372.0
61,Guinea-Bissau,GNB,AFRO,REPORTING,2023-12-31,920752.0,747057.0,47.0,38.0,547637.0,28.0,,2021-04-02,,76359.0,4.0,9614.0,177.0
62,Equatorial Guinea,GNQ,AFRO,REPORTING,2023-12-31,488738.0,270109.0,35.0,19.0,214032.0,15.0,,2021-02-12,,4597.0,,17130.0,183.0
63,Greece,GRC,EURO,REPORTING,2023-12-23,22155251.0,7917288.0,207.0,74.0,7745574.0,72.0,,2020-12-23,,6071723.0,57.0,5705992.0,39497.0
64,Grenada,GRD,AMRO,REPORTING,2023-12-29,90686.0,44241.0,81.0,39.0,39034.0,35.0,,2021-02-15,,7411.0,7.0,19693.0,238.0
65,Guatemala,GTM,AMRO,REPORTING,2023-12-29,20383475.0,8937923.0,114.0,50.0,7130895.0,40.0,,2021-02-25,,3723845.0,21.0,1250390.0,20203.0
66,French Guiana,GUF,,REPORTING,2023-12-29,242386.0,100359.0,81.0,34.0,90493.0,30.0,,,,46361.0,16.0,98041.0,413.0
67,Guyana,GUY,AMRO,REPORTING,2023-12-29,967861.0,497550.0,123.0,63.0,384507.0,49.0,,2021-02-11,,80224.0,10.0,74486.0,1302.0
68,Honduras,HND,AMRO,REPORTING,2023-12-29,17074861.0,6596213.0,172.0,67.0,5853689.0,59.0,,2021-02-22,,4803544.0,48.0,472909.0,11114.0
69,Croatia,HRV,EURO,REPORTING,2023-12-23,5435966.0,2321669.0,134.0,57.0,2246622.0,55.0,,2020-12-23,,996098.0,25.0,1337770.0,18765.0
70,Haiti,HTI,AMRO,REPORTING,2023-12-29,680104.0,521396.0,6.0,5.0,366339.0,3.0,,,,,,34515.0,860.0
71,Hungary,HUN,EURO,REPORTING,2023-12-23,16578284.0,6358657.0,170.0,65.0,6152022.0,63.0,,2020-12-23,,3876420.0,40.0,2232924.0,49068.0
72,Ireland,IRL,EURO,REPORTING,2023-12-23,13122238.0,4245977.0,264.0,86.0,4063819.0,82.0,,2020-12-30,,3787948.0,76.0,1748736.0,9852.0
73,Iceland,ISL,EURO,REPORTING,2023-12-23,903424.0,307412.0,248.0,84.0,297934.0,82.0,,2020-12-30,,287652.0,79.0,210591.0,186.0
74,Israel,ISR,EURO,REPORTING,2023-12-23,18852564.0,7055466.0,218.0,82.0,6385731.0,74.0,,2020-12-16,,4474108.0,52.0,4841558.0,12707.0
75,Italy,ITA,EURO,REPORTING,2023-12-23,150321543.0,50583975.0,252.0,85.0,49484586.0,83.0,,2020-12-23,,44917315.0,75.0,26826486.0,197542.0
76,Jamaica,JAM,AMRO,REPORTING,2023-12-29,1529113.0,722248.0,52.0,24.0,760800.0,26.0,,2021-03-10,,46065.0,2.0,157295.0,3615.0
77,Japan,JPN,WPRO,REPORTING,2023-12-31,433356604.0,104740066.0,343.0,83.0,103455221.0,82.0,,2021-02-17,,86666847.0,69.0,33803572.0,74694.0
78,Kazakhstan,KAZ,EURO,REPORTING,2023-12-23,38355605.0,12443364.0,204.0,66.0,13070774.0,70.0,,2021-04-07,,6801526.0,36.0,1504370.0,19072.0
79,Kenya,KEN,AFRO,REPORTING,2023-12-31,23750431.0,14494372.0,44.0,27.0,11090440.0,21.0,,2021-03-05,,2000636.0,4.0,344109.0,5689.0
80,Kyrgyzstan,KGZ,EURO,REPORTING,2023-12-23,3167393.0,1528725.0,49.0,23.0,1337850.0,21.0,,2021-03-31,,300818.0,5.0,88953.0,1024.0
81,Cambodia,KHM,WPRO,REPORTING,2023-12-31,47826645.0,15316670.0,286.0,92.0,14693274.0,88.0,,2021-02-10,,10782710.0,64.0,139324.0,3056.0
82,Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-12-29,64297.0,33794.0,121.0,64.0,27000.0,51.0,,2021-02-22,,3465.0,7.0,6607.0,46.0
83,Kuwait,KWT,EMRO,REPORTING,2023-12-03,8261221.0,3457498.0,193.0,81.0,3346176.0,78.0,,2020-12-28,,1457547.0,34.0,667290.0,2570.0
84,Liberia,LBR,AFRO,REPORTING,2023-12-31,4460668.0,3903802.0,88.0,77.0,3730967.0,74.0,,2021-04-01,,1987.0,,8090.0,294.0
85,Libya,LBY,EMRO,REPORTING,2023-12-31,3653384.0,2316327.0,53.0,34.0,1236102.0,18.0,,2021-04-11,,186729.0,3.0,507269.0,6437.0
86,Saint Lucia,LCA,AMRO,REPORTING,2023-12-29,122977.0,60140.0,67.0,33.0,54971.0,30.0,,2021-02-17,,7866.0,4.0,30287.0,410.0
87,Lesotho,LSO,AFRO,REPORTING,2023-12-31,1339097.0,1014073.0,63.0,47.0,938088.0,44.0,,2021-03-10,,177816.0,8.0,36138.0,709.0
88,Lithuania,LTU,EURO,REPORTING,2023-12-23,4532649.0,1960786.0,162.0,70.0,1907061.0,68.0,,2020-12-23,,902103.0,32.0,1388526.0,9824.0
89,Luxembourg,LUX,EURO,REPORTING,2023-12-23,1337940.0,469285.0,214.0,75.0,462715.0,74.0,,2020-12-30,,368527.0,59.0,394694.0,1000.0
90,Latvia,LVA,EURO,REPORTING,2023-12-23,2979624.0,1344394.0,156.0,70.0,1304787.0,68.0,,2020-12-30,,550901.0,29.0,977765.0,7475.0
91,Morocco,MAR,EMRO,REPORTING,2023-12-31,55389602.0,25020168.0,150.0,68.0,23521989.0,64.0,,2021-01-28,,6925973.0,19.0,1279115.0,16305.0
92,Monaco,MCO,EURO,REPORTING,2023-12-23,71929.0,25123.0,183.0,64.0,25261.0,64.0,,2021-06-30,,17747.0,45.0,17181.0,67.0
93,Republic of Moldova,MDA,EURO,REPORTING,2023-12-23,2293086.0,1109524.0,57.0,28.0,1078961.0,27.0,,2021-03-03,,406022.0,10.0,649505.0,12274.0
94,Madagascar,MDG,AFRO,REPORTING,2023-12-31,3092063.0,2710365.0,11.0,10.0,2628849.0,9.0,,2021-05-10,,169187.0,1.0,68572.0,1428.0
95,Mexico,MEX,AMRO,REPORTING,2023-12-29,222226293.0,96727823.0,172.0,75.0,81346379.0,63.0,,2020-12-24,,57014052.0,44.0,7622076.0,334724.0
96,North Macedonia,MKD,EURO,REPORTING,2023-12-23,1862987.0,854570.0,89.0,41.0,838181.0,40.0,,2021-02-17,,161633.0,8.0,351819.0,9981.0
97,Mali,MLI,AFRO,REPORTING,2023-12-31,5922585.0,4354292.0,29.0,22.0,3633589.0,18.0,,2021-03-31,,,,33166.0,743.0
98,Malta,MLT,EURO,REPORTING,2023-12-23,1282437.0,450535.0,249.0,88.0,444904.0,86.0,,2020-12-23,,354901.0,69.0,123063.0,923.0
99,Montenegro,MNE,EURO,REPORTING,2023-12-23,526975.0,272152.0,84.0,43.0,254365.0,40.0,,2021-02-24,,,,251280.0,2654.0
100,Mozambique,MOZ,AFRO,REPORTING,2023-12-31,34950858.0,22869646.0,112.0,73.0,21329745.0,68.0,,2021-03-08,,2323562.0,7.0,233843.0,2252.0
101,Mauritania,MRT,AFRO,REPORTING,2023-12-31,4075874.0,2103754.0,88.0,45.0,1540597.0,33.0,,2021-03-26,,383937.0,8.0,63875.0,997.0
102,Montserrat,MSR,AMRO,REPORTING,2023-12-29,4619.0,2104.0,92.0,42.0,1952.0,39.0,,2021-02-08,,563.0,11.0,1403.0,8.0
103,Mauritius,MUS,AFRO,REPORTING,2023-12-31,2616012.0,1123773.0,206.0,88.0,1088142.0,86.0,,2021-01-26,,654507.0,51.0,328744.0,1074.0
